,unique_id,ds,y_hat
6,2020-01-10,2020-01-17,1584.0
7,2020-01-10,2020-01-18,1584.0
8,2020-01-10,2020-01-19,1584.0
9,2020-01-10,2020-01-20,1584.0
10,2020-01-10,2020-01-21,1584.0
11,2020-01-10,2020-01-22,1584.0
12,2020-01-10,2020-01-23,1584.0
13,2020-01-10,2020-01-24,1584.0
0,2020-01-11,2020-01-12,1634.0
1,2020-01-11,2020-01-13,1634.0
2,2020-01-11,2020-01-14,1634.0
3,2020-01-11,2020-01-15,1634.0
4,2020-01-11,2020-01-16,1634.0
5,2020-01-11,2020-01-17,1634.0
6,2020-01-11,2020-01-18,1634.0
7,2020-01-11,2020-01-19,1634.0
8,2020-01-11,2020-01-20,1634.0
9,2020-01-11,2020-01-21,1634.0
10,2020-01-11,2020-01-22,1634.0
11,2020-01-11,2020-01-23,1634.0
12,2020-01-11,2020-01-24,1634.0
13,2020-01-11,2020-01-25,1634.0
0,2020-01-12,2020-01-13,1532.0
1,2020-01-12,2020-01-14,1532.0
2,2020-01-12,2020-01-15,1532.0
3,2020-01-12,2020-01-16,1532.0
4,2020-01-12,2020-01-17,1532.0
5,2020-01-12,2020-01-18,1532.0
6,2020-01-12,2020-01-19,1532.0
7,2020-01-12,2020-01-20,1532.0
8,2020-01-12,2020-01-21,1532.0
9,2020-01-12,2020-01-22,1532.0
10,2020-01-12,2020-01-23,1532.0
11,2020-01-12,2020-01-24,1532.0
12,2020-01-12,2020-01-25,1532.0
13,2020-01-12,2020-01-26,1532.0
0,2020-01-13,2020-01-14,1325.0
1,2020-01-13,2020-01-15,1325.0
2,2020-01-13,2020-01-16,1325.0
3,2020-01-13,2020-01-17,1325.0
4,2020-01-13,2020-01-18,1325.0
5,2020-01-13,2020-01-19,1325.0
6,2020-01-13,2020-01-20,1325.0
7,2020-01-13,2020-01-21,1325.0
8,2020-01-13,2020-01-22,1325.0
9,2020-01-13,2020-01-23,1325.0
10,2020-01-13,2020-01-24,1325.0
11,2020-01-13,2020-01-25,1325.0
12,2020-01-13,2020-01-26,1325.0
13,2020-01-13,2020-01-27,1325.0
0,2020-01-14,2020-01-15,1395.0
1,2020-01-14,2020-01-16,1395.0
2,2020-01-14,2020-01-17,1395.0
3,2020-01-14,2020-01-18,1395.0
4,2020-01-14,2020-01-19,1395.0
5,2020-01-14,2020-01-20,1395.0
6,2020-01-14,2020-01-21,1395.0
7,2020-01-14,2020-01-22,1395.0
8,2020-01-14,2020-01-23,1395.0
9,2020-01-14,2020-01-24,1395.0
10,2020-01-14,2020-01-25,1395.0
11,2020-01-14,2020-01-26,1395.0
12,2020-01-14,2020-01-27,1395.0
13,2020-01-14,2020-01-28,1395.0
0,2020-01-15,2020-01-16,1367.0
1,2020-01-15,2020-01-17,1367.0
2,2020-01-15,2020-01-18,1367.0
3,2020-01-15,2020-01-19,1367.0
4,2020-01-15,2020-01-20,1367.0
5,2020-01-15,2020-01-21,1367.0
6,2020-01-15,2020-01-22,1367.0
7,2020-01-15,2020-01-23,1367.0
8,2020-01-15,2020-01-24,1367.0
9,2020-01-15,2020-01-25,1367.0
10,2020-01-15,2020-01-26,1367.0
11,2020-01-15,2020-01-27,1367.0
12,2020-01-15,2020-01-28,1367.0
13,2020-01-15,2020-01-29,1367.0
0,2020-01-16,2020-01-17,1285.0
1,2020-01-16,2020-01-18,1285.0
2,2020-01-16,2020-01-19,1285.0
3,2020-01-16,2020-01-20,1285.0
4,2020-01-16,2020-01-21,1285.0
5,2020-01-16,2020-01-22,1285.0
6,2020-01-16,2020-01-23,1285.0
7,2020-01-16,2020-01-24,1285.0
8,2020-01-16,2020-01-25,1285.0
9,2020-01-16,2020-01-26,1285.0
10,2020-01-16,2020-01-27,1285.0
11,2020-01-16,2020-01-28,1285.0
12,2020-01-16,2020-01-29,1285.0
13,2020-01-16,2020-01-30,1285.0
0,2020-01-17,2020-01-18,1182.0
1,2020-01-17,2020-01-19,1182.0
2,2020-01-17,2020-01-20,1182.0
3,2020-01-17,2020-01-21,1182.0
4,2020-01-17,2020-01-22,1182.0
5,2020-01-17,2020-01-23,1182.0
6,2020-01-17,2020-01-24,1182.0
7,2020-01-17,2020-01-25,1182.0
8,2020-01-17,2020-01-26,1182.0
9,2020-01-17,2020-01-27,1182.0
10,2020-01-17,2020-01-28,1182.0
11,2020-01-17,2020-01-29,1182.0
12,2020-01-17,2020-01-30,1182.0
13,2020-01-17,2020-01-31,1182.0
0,2020-01-18,2020-01-19,1246.0
1,2020-01-18,2020-01-20,1246.0
2,2020-01-18,2020-01-21,1246.0
3,2020-01-18,2020-01-22,1246.0
4,2020-01-18,2020-01-23,1246.0
5,2020-01-18,2020-01-24,1246.0
6,2020-01-18,2020-01-25,1246.0
7,2020-01-18,2020-01-26,1246.0
8,2020-01-18,2020-01-27,1246.0
9,2020-01-18,2020-01-28,1246.0
10,2020-01-18,2020-01-29,1246.0
11,2020-01-18,2020-01-30,1246.0
12,2020-01-18,2020-01-31,1246.0
13,2020-01-18,2020-02-01,1246.0
0,2020-01-19,2020-01-20,1321.0
1,2020-01-19,2020-01-21,1321.0
2,2020-01-19,2020-01-22,1321.0
3,2020-01-19,2020-01-23,1321.0
4,2020-01-19,2020-01-24,1321.0
5,2020-01-19,2020-01-25,1321.0
6,2020-01-19,2020-01-26,1321.0
7,2020-01-19,2020-01-27,1321.0
8,2020-01-19,2020-01-28,1321.0
9,2020-01-19,2020-01-29,1321.0
10,2020-01-19,2020-01-30,1321.0
11,2020-01-19,2020-01-31,1321.0
12,2020-01-19,2020-02-01,1321.0
13,2020-01-19,2020-02-02,1321.0
0,2020-01-20,2020-01-21,1160.0
1,2020-01-20,2020-01-22,1160.0
2,2020-01-20,2020-01-23,1160.0
3,2020-01-20,2020-01-24,1160.0
4,2020-01-20,2020-01-25,1160.0
5,2020-01-20,2020-01-26,1160.0
6,2020-01-20,2020-01-27,1160.0
7,2020-01-20,2020-01-28,1160.0
8,2020-01-20,2020-01-29,1160.0
9,2020-01-20,2020-01-30,1160.0
10,2020-01-20,2020-01-31,1160.0
11,2020-01-20,2020-02-01,1160.0
12,2020-01-20,2020-02-02,1160.0
13,2020-01-20,2020-02-03,1160.0
0,2020-01-21,2020-01-22,1115.4494125548283
1,2020-01-21,2020-01-23,1128.061767162683
2,2020-01-21,2020-01-24,1131.4279636899741
3,2020-01-21,2020-01-25,1203.80466792949
4,2020-01-21,2020-01-26,1155.5363740331957
5,2020-01-21,2020-01-27,1152.609016979389
6,2020-01-21,2020-01-28,1170.0
7,2020-01-21,2020-01-29,1115.4494125548283
8,2020-01-21,2020-01-30,1128.061767162683
9,2020-01-21,2020-01-31,1131.4279636899741
10,2020-01-21,2020-02-01,1203.80466792949
11,2020-01-21,2020-02-02,1155.5363740331957
12,2020-01-21,2020-02-03,1152.609016979389
13,2020-01-21,2020-02-04,1170.0
0,2020-01-22,2020-01-23,1061.0
1,2020-01-22,2020-01-24,1061.0
2,2020-01-22,2020-01-25,1061.0
3,2020-01-22,2020-01-26,1061.0
4,2020-01-22,2020-01-27,1061.0
5,2020-01-22,2020-01-28,1061.0
6,2020-01-22,2020-01-29,1061.0
7,2020-01-22,2020-01-30,1061.0
8,2020-01-22,2020-01-31,1061.0
9,2020-01-22,2020-02-01,1061.0
10,2020-01-22,2020-02-02,1061.0
11,2020-01-22,2020-02-03,1061.0
12,2020-01-22,2020-02-04,1061.0
13,2020-01-22,2020-02-05,1061.0
0,2020-01-23,2020-01-24,1141.0
1,2020-01-23,2020-01-25,1141.0
2,2020-01-23,2020-01-26,1141.0
3,2020-01-23,2020-01-27,1141.0
4,2020-01-23,2020-01-28,1141.0
5,2020-01-23,2020-01-29,1141.0
6,2020-01-23,2020-01-30,1141.0
7,2020-01-23,2020-01-31,1141.0
8,2020-01-23,2020-02-01,1141.0
9,2020-01-23,2020-02-02,1141.0
10,2020-01-23,2020-02-03,1141.0
11,2020-01-23,2020-02-04,1141.0
12,2020-01-23,2020-02-05,1141.0
13,2020-01-23,2020-02-06,1141.0
0,2020-01-24,2020-01-25,1081.0
1,2020-01-24,2020-01-26,1081.0
2,2020-01-24,2020-01-27,1081.0
3,2020-01-24,2020-01-28,1081.0
4,2020-01-24,2020-01-29,1081.0
5,2020-01-24,2020-01-30,1081.0
6,2020-01-24,2020-01-31,1081.0
7,2020-01-24,2020-02-01,1081.0
8,2020-01-24,2020-02-02,1081.0
9,2020-01-24,2020-02-03,1081.0
10,2020-01-24,2020-02-04,1081.0
11,2020-01-24,2020-02-05,1081.0
12,2020-01-24,2020-02-06,1081.0
13,2020-01-24,2020-02-07,1081.0
0,2020-01-25,2020-01-26,1044.0
1,2020-01-25,2020-01-27,1044.0
2,2020-01-25,2020-01-28,1044.0
3,2020-01-25,2020-01-29,1044.0
4,2020-01-25,2020-01-30,1044.0
5,2020-01-25,2020-01-31,1044.0
6,2020-01-25,2020-02-01,1044.0
7,2020-01-25,2020-02-02,1044.0
8,2020-01-25,2020-02-03,1044.0
9,2020-01-25,2020-02-04,1044.0
10,2020-01-25,2020-02-05,1044.0
11,2020-01-25,2020-02-06,1044.0
12,2020-01-25,2020-02-07,1044.0
13,2020-01-25,2020-02-08,1044.0
0,2020-01-26,2020-01-27,927.0
1,2020-01-26,2020-01-28,927.0
2,2020-01-26,2020-01-29,927.0
3,2020-01-26,2020-01-30,927.0
4,2020-01-26,2020-01-31,927.0
5,2020-01-26,2020-02-01,927.0
6,2020-01-26,2020-02-02,927.0
7,2020-01-26,2020-02-03,927.0
