,Value
457,1922.0
458,1934.0
459,1901.0
460,1875.0
461,1904.0
462,1960.0
463,1963.0
464,1981.0
465,2002.0
466,1976.0
467,1913.0
468,1886.0
469,1889.0
470,1901.0
471,1885.0
472,1918.0
473,1921.0
474,1920.0
475,1897.0
476,1894.0
477,1893.0
478,1893.0
479,1895.0
480,1893.0
481,1896.0
482,1904.0
483,1926.0
484,1920.0
485,1938.0
486,1949.0
487,1958.0
488,1963.0
489,1951.0
490,1951.0
491,1951.0
492,1943.0
493,1942.0
494,1885.0
495,1864.0
496,1864.0
497,1868.0
498,1873.0
499,1876.0
500,1901.0
501,1926.0
502,1948.0
503,1931.0
504,1928.0
505,1929.0
506,1925.0
507,1877.0
508,1875.0
509,1864.0
510,1843.0
511,1843.0
512,1833.0
513,1330.0
514,1601.0
515,1853.0
516,1911.0
517,1900.0
518,1890.0
519,1979.0
520,1982.0
521,1983.0
522,2029.0
523,1999.0
524,1912.0
525,1918.0
526,1955.0
527,1916.0
528,1937.0
529,1951.0
530,1922.0
531,1965.0
532,2031.0
533,1975.0
534,1884.0
535,1894.0
536,1912.0
537,1893.0
538,1887.0
539,1875.0
540,1878.0
541,1865.0
542,1887.0
543,1867.0
544,1836.0
545,1865.0
546,1835.0
547,1831.0
548,1785.0
549,1815.0
550,1820.0
551,1861.0
552,1926.0
553,1928.0
554,1927.0
555,1924.0
556,1923.0
557,1902.0
558,1861.0
559,1846.0
560,1775.0
561,1771.0
562,1766.0
563,1736.0
564,1750.0
565,1724.0
566,1682.0
567,1733.0
568,1735.0
569,1751.0
570,1761.0
571,1793.0
572,1773.0
573,1768.0
574,1757.0
575,1754.0
576,1756.0
577,1756.0
578,1747.0
579,1749.0
580,1746.0
581,1740.0
582,1747.0
583,1756.0
584,1761.0
585,1758.0
586,1755.0
587,1757.0
588,1755.0
589,1752.0
590,1762.0
591,1748.0
592,1739.0
593,1744.0
594,1778.0
595,1780.0
596,1783.0
597,1779.0
598,1774.0
599,1746.0
600,1722.0
601,1754.0
602,1761.0
603,1753.0
604,1750.0
605,1757.0
606,1758.0
607,1758.0
608,1752.0
609,1754.0
610,1758.0
611,1742.0
612,1742.0
613,856.0
614,1643.0
615,1874.0
616,1845.0
617,1785.0
618,1811.0
619,1823.0
620,1810.0
621,1817.0
622,1838.0
623,1843.0
624,1843.0
625,1838.0
626,1790.0
627,1756.0
628,1730.0
629,1689.0
630,1708.0
631,1687.0
632,1667.0
633,1662.0
634,1615.0
635,1576.0
636,1605.0
637,1530.0
638,1061.0
639,1436.0
640,1721.0
641,1727.0
642,1606.0
643,1558.0
644,1566.0
645,1534.0
646,1563.0
647,1564.0
648,1583.0
649,1600.0
650,1630.0
651,1592.0
652,1599.0
653,1574.0
654,1595.0
655,1605.0
656,1620.0
657,1685.0
658,1660.0
659,1694.0
660,1664.0
661,1662.0
662,1664.0
663,1665.0
664,1672.0
665,1677.0
666,1682.0
667,1673.0
668,1655.0
669,1637.0
670,1634.0
671,1619.0
672,1615.0
673,1604.0
674,1552.0
675,1605.0
676,1599.0
677,1571.0
678,1572.0
679,1577.0
680,1590.0
681,1636.0
682,1688.0
683,1681.0
684,1721.0
685,1709.0
686,1719.0
687,1758.0
688,1761.0
689,1761.0
690,1757.0
691,1757.0
692,1750.0
693,1754.0
694,1794.0
695,1795.0
696,1803.0
697,1799.0
698,1801.0
699,1812.0
700,1786.0
701,1812.0
702,1808.0
703,1784.0
704,1802.0
705,1748.0
706,1697.0
707,1733.0
708,1686.0
709,1672.0
710,1684.0
711,1653.0
712,1613.0
713,1623.0
714,1618.0
715,1549.0
716,1606.0
717,1582.0
718,1569.0
719,1544.0
720,1566.0
721,1568.0
722,1567.0
723,1543.0
724,1565.0
725,1551.0
726,1529.0
727,1514.0
728,1535.0
729,1534.0
730,1533.0
731,1527.0
732,1489.0
733,1209.0
734,1245.0
735,1451.0
736,1183.0
737,1708.0
738,1744.0
739,1534.0
740,1359.0
741,1215.0
742,1208.0
743,1205.0
744,1243.0
745,1380.0
746,1405.0
747,1467.0
748,1451.0
749,1414.0
750,1443.0
751,1437.0
752,1423.0
753,1425.0
754,1429.0
755,1444.0
756,1472.0
757,1473.0
758,1470.0
759,1469.0
760,1473.0
761,1488.0
762,1534.0
763,1492.0
764,1518.0
765,1475.0
766,1501.0
767,1459.0
768,1478.0
769,1469.0
770,1470.0
771,1471.0
772,1468.0
773,1467.0
774,1468.0
775,1469.0
776,1468.0
777,1475.0
778,1497.0
779,1499.0
780,1498.0
781,1499.0
782,1497.0
783,1497.0
784,1499.0
785,1496.0
786,1496.0
787,1498.0
788,1495.0
789,1494.0
790,1497.0
791,1498.0
792,1502.0
793,1505.0
794,1505.0
795,1506.0
796,1505.0
797,1509.0
798,1549.0
799,1527.0
800,1535.0
801,1535.0
802,1563.0
803,1524.0
804,1565.0
805,1644.0
806,1688.0
807,1743.0
808,1744.0
809,1754.0
810,1743.0
811,1733.0
812,1724.0
813,1769.0
814,1823.0
815,1793.0
816,1808.0
817,1817.0
818,1817.0
819,1812.0
820,1764.0
821,1734.0
822,1713.0
823,1675.0
824,1674.0
825,1651.0
826,1656.0
827,1585.0
828,1617.0
829,1557.0
830,1571.0
831,1549.0
832,1562.0
833,1530.0
834,1545.0
835,1536.0
836,1507.0
837,1513.0
838,1467.0
839,1497.0
840,1468.0
841,1485.0
842,1485.0
843,1482.0
844,1482.0
845,1483.0
846,1472.0
847,1438.0
848,1452.0
849,1462.0
850,1482.0
851,1522.0
852,1528.0
853,1527.0
854,1527.0
855,1532.0
856,1597.0
857,1532.0
858,1557.0
859,1557.0
860,1529.0
861,1554.0
862,1555.0
863,1553.0
864,1542.0
865,1547.0
866,1611.0
867,1576.0
868,1600.0
869,1555.0
870,1563.0
871,1541.0
872,1579.0
873,1630.0
874,1610.0
875,1639.0
876,1666.0
877,1651.0
878,1676.0
879,1693.0
880,1718.0
881,1704.0
882,1778.0
883,1865.0
884,1875.0
885,1848.0
886,1809.0
887,1790.0
888,1755.0
889,1752.0
890,1761.0
891,1792.0
892,1822.0
893,1793.0
894,1784.0
895,1793.0
896,1790.0
897,1758.0
898,1740.0
899,1746.0
900,1746.0
901,1747.0
902,1748.0
903,1734.0
904,1719.0
905,1653.0
906,1653.0
907,1674.0
908,1657.0
909,1676.0
910,1676.0
911,1672.0
912,1674.0
913,1641.0
914,1635.0
915,1636.0
916,1652.0
917,1673.0
918,1662.0
919,1618.0
920,1571.0
921,1597.0
922,1584.0
923,1586.0
924,1586.0
925,1594.0
926,1644.0
927,1697.0
928,1718.0
929,1783.0
930,1776.0
931,1797.0
932,1795.0
933,1795.0
934,1802.0
935,1777.0
936,1772.0
937,1765.0
938,1715.0
939,1675.0
940,1703.0
941,1641.0
942,1642.0
943,1634.0
944,1601.0
945,1609.0
946,1568.0
947,1560.0
948,1566.0
949,1554.0
950,1532.0
951,1551.0
952,1564.0
953,1639.0
954,1628.0
955,1683.0
956,1673.0
957,1698.0
958,1685.0
959,1658.0
960,1657.0
961,1612.0
962,1606.0
963,1604.0
964,1602.0
965,1602.0
966,1620.0
967,1650.0
968,1745.0
969,1710.0
970,1718.0
971,1698.0
972,1627.0
973,1630.0
974,1669.0
975,1671.0
976,1674.0
977,1683.0
978,1647.0
979,1603.0
980,1623.0
981,1648.0
982,1645.0
983,1646.0
984,1661.0
985,1656.0
986,1656.0
987,1652.0
988,1629.0
989,1585.0
990,1569.0
991,1595.0
992,1439.0
993,598.0
994,706.0
995,1425.0
996,1710.0
997,1643.0
998,1677.0
999,1671.0
1000,1679.0
1001,1656.0
1002,1675.0
1003,1674.0
1004,1667.0
1005,1655.0
1006,1665.0
1007,1677.0
1008,1678.0
1009,1680.0
1010,1694.0
1011,1704.0
1012,1702.0
1013,1699.0
1014,1699.0
1015,1687.0
1016,1634.0
1017,1646.0
1018,1656.0
1019,1616.0
1020,1578.0
1021,1591.0
1022,1610.0
1023,1608.0
1024,1608.0
1025,1610.0
1026,1609.0
1027,1610.0
1028,1610.0
1029,1610.0
1030,1609.0
1031,1612.0
1032,1612.0
1033,1610.0
1034,1605.0
1035,1570.0
1036,1550.0
1037,1534.0
1038,1543.0
1039,1543.0
1040,1544.0
1041,1546.0
1042,1541.0
1043,1520.0
1044,1530.0
1045,1533.0
1046,1533.0
1047,1547.0
1048,1610.0
1049,1593.0
1050,1615.0
1051,1619.0
1052,1615.0
1053,1613.0
1054,1602.0
1055,1590.0
1056,1589.0
1057,1568.0
1058,1570.0
1059,1555.0
1060,1520.0
1061,1531.0
1062,1523.0
1063,1498.0
1064,1500.0
1065,1499.0
1066,1496.0
1067,1501.0
1068,1499.0
1069,1504.0
1070,1507.0
1071,1501.0
1072,1496.0
1073,1498.0
1074,1504.0
1075,1506.0
1076,1503.0
1077,1452.0
1078,1484.0
1079,1454.0
1080,1470.0
1081,1472.0
1082,1477.0
1083,1479.0
1084,757.0
1085,186.0
1086,936.0
1087,1376.0
1088,1744.0
1089,1621.0
1090,1616.0
1091,1483.0
1092,1527.0
1093,1574.0
1094,1592.0
1095,1533.0
1096,1561.0
1097,1471.0
1098,1519.0
1099,1447.0
1100,1499.0
1101,1505.0
1102,1525.0
1103,1523.0
1104,1512.0
1105,1495.0
1106,1457.0
1107,1479.0
1108,1482.0
1109,1523.0
1110,1512.0
1111,1518.0
1112,1485.0
1113,1502.0
1114,1484.0
1115,1485.0
1116,1486.0
1117,1485.0
1118,1486.0
1119,1485.0
1120,1482.0
1121,1480.0
1122,1463.0
1123,1478.0
1124,1476.0
1125,1480.0
1126,1481.0
1127,1477.0
1128,1475.0
1129,1468.0
1130,1448.0
1131,1449.0
1132,1451.0
1133,1459.0
1134,1457.0
1135,1455.0
1136,1456.0
1137,1452.0
1138,1453.0
1139,1456.0
1140,1455.0
1141,1456.0
1142,1455.0
1143,1454.0
1144,1453.0
1145,1452.0
1146,1455.0
1147,1460.0
1148,1490.0
1149,1499.0
1150,1532.0
1151,1505.0
1152,1487.0
1153,1502.0
1154,1509.0
1155,1509.0
1156,1512.0
1157,1513.0
1158,1508.0
1159,1500.0
1160,1500.0
1161,1499.0
1162,1488.0
1163,1476.0
1164,1478.0
1165,1479.0
1166,1477.0
1167,1477.0
1168,1456.0
1169,1473.0
1170,1475.0
1171,1473.0
1172,1475.0
1173,1474.0
1174,1475.0
1175,1464.0
1176,1447.0
1177,1440.0
1178,1418.0
1179,1433.0
1180,1458.0
1181,1457.0
1182,1456.0
1183,1456.0
1184,1447.0
1185,1453.0
1186,1451.0
1187,1450.0
1188,1453.0
1189,1451.0
1190,1451.0
1191,1452.0
1192,1482.0
1193,1491.0
1194,1564.0
1195,1561.0
1196,1552.0
1197,1545.0
1198,1544.0
1199,1531.0
1200,1515.0
1201,1530.0
1202,1531.0
1203,1531.0
1204,1540.0
1205,1555.0
1206,1551.0
1207,1540.0
1208,1462.0
1209,1439.0
1210,1339.0
1211,1224.0
1212,1151.0
1213,1096.0
1214,1091.0
1215,1115.0
1216,1194.0
1217,1262.0
1218,1245.0
1219,1243.0
1220,1245.0
1221,1253.0
1222,1317.0
1223,1340.0
1224,1348.0
1225,1369.0
1226,1353.0
1227,1337.0
1228,1338.0
1229,1349.0
1230,1350.0
1231,1349.0
1232,1349.0
1233,1348.0
1234,1339.0
1235,1328.0
1236,1305.0
1237,1325.0
1238,1325.0
1239,1325.0
1240,1328.0
1241,1326.0
1242,1344.0
1243,1407.0
1244,1406.0
1245,1463.0
1246,1567.0
1247,1561.0
1248,1556.0
1249,1548.0
1250,1516.0
1251,1510.0
1252,1476.0
1253,1464.0
1254,1450.0
1255,1465.0
1256,1404.0
1257,1436.0
1258,1392.0
1259,1374.0
1260,1392.0
1261,1377.0
1262,1349.0
1263,1368.0
1264,1369.0
1265,1386.0
1266,1449.0
1267,1478.0
1268,1560.0
1269,1562.0
1270,1538.0
1271,1498.0
1272,1495.0
1273,1505.0
1274,1502.0
1275,1480.0
1276,1473.0
1277,1472.0
1278,1469.0
1279,1454.0
1280,1147.0
1281,1504.0
1282,972.0
1283,1561.0
1284,1613.0
1285,1579.0
1286,1541.0
1287,1548.0
1288,1573.0
1289,1568.0
1290,1558.0
1291,1495.0
1292,1515.0
1293,1511.0
1294,1490.0
1295,1444.0
1296,1472.0
1297,1433.0
1298,1447.0
1299,1406.0
1300,1430.0
1301,1430.0
1302,1427.0
1303,1396.0
1304,1412.0
1305,1411.0
1306,1419.0
1307,1414.0
1308,1415.0
1309,1410.0
1310,1391.0
1311,1396.0
1312,1397.0
1313,1398.0
1314,1401.0
1315,1400.0
1316,1397.0
1317,1399.0
1318,1397.0
1319,1374.0
1320,1393.0
1321,1394.0
1322,1395.0
1323,1394.0
1324,1395.0
1325,1392.0
1326,1393.0
1327,1393.0
1328,1385.0
1329,1376.0
1330,1377.0
1331,1384.0
1332,1384.0
1333,1387.0
1334,1386.0
1335,1385.0
1336,1387.0
1337,1390.0
1338,1397.0
1339,1404.0
1340,1417.0
1341,1415.0
1342,1415.0
1343,1415.0
1344,1415.0
1345,1414.0
1346,1416.0
1347,1414.0
1348,1412.0
1349,1391.0
1350,1381.0
1351,1379.0
1352,1382.0
1353,1384.0
1354,1382.0
1355,1381.0
1356,1381.0
1357,1380.0
1358,1367.0
1359,1393.0
1360,1393.0
1361,1403.0
1362,1456.0
1363,1451.0
1364,1470.0
1365,1537.0
1366,1580.0
1367,1550.0
1368,1571.0
1369,1587.0
1370,1602.0
1371,1614.0
1372,1629.0
1373,1626.0
1374,1624.0
1375,1625.0
1376,1623.0
1377,1619.0
1378,1591.0
1379,1560.0
1380,1549.0
1381,1538.0
1382,1530.0
1383,1520.0
1384,1467.0
1385,1505.0
1386,1484.0
1387,1465.0
1388,1477.0
1389,1474.0
1390,1429.0
1391,1452.0
1392,1454.0
1393,1447.0
1394,1424.0
1395,1442.0
1396,1440.0
1397,1438.0
1398,1421.0
1399,1419.0
1400,1412.0
1401,1402.0
1402,1404.0
1403,1395.0
1404,1395.0
1405,1398.0
1406,1394.0
1407,1395.0
1408,1397.0
1409,1392.0
1410,1375.0
1411,1386.0
1412,1368.0
1413,1339.0
1414,1290.0
1415,1280.0
1416,1264.0
1417,1204.0
1418,1239.0
1419,1239.0
1420,1241.0
1421,1291.0
1422,1314.0
1423,1308.0
1424,1310.0
1425,1310.0
1426,1310.0
1427,1310.0
1428,1315.0
1429,1334.0
1430,1357.0
1431,1381.0
1432,1385.0
1433,1370.0
1434,1346.0
1435,1367.0
1436,1366.0
1437,1365.0
1438,1368.0
1439,1367.0
1440,1367.0
1441,1368.0
1442,1364.0
1443,1364.0
1444,1364.0
1445,1366.0
1446,1366.0
1447,1365.0
1448,1366.0
1449,1364.0
1450,1364.0
1451,1365.0
1452,1358.0
1453,1346.0
1454,1349.0
1455,1348.0
1456,1348.0
1457,1349.0
1458,1348.0
1459,1344.0
1460,1306.0
1461,1284.0
1462,1252.0
1463,1253.0
1464,1224.0
1465,1148.0
1466,1150.0
1467,1150.0
1468,1152.0
1469,1151.0
1470,1153.0
1471,1136.0
1472,865.0
1473,1281.0
1474,1286.0
1475,1334.0
1476,1297.0
1477,1315.0
1478,1314.0
1479,1312.0
1480,1314.0
1481,1312.0
1482,1322.0
1483,1365.0
1484,1344.0
1485,1372.0
1486,1366.0
1487,1366.0
1488,1366.0
1489,1365.0
1490,1365.0
1491,1343.0
1492,1315.0
1493,1325.0
1494,1286.0
1495,1293.0
1496,1292.0
1497,1303.0
1498,1290.0
1499,1285.0
1500,1256.0
1501,1274.0
1502,1225.0
1503,1245.0
1504,1166.0
1505,1165.0
1506,1143.0
1507,1092.0
1508,1158.0
1509,1199.0
1510,1250.0
1511,1244.0
1512,1250.0
1513,1252.0
1514,1252.0
1515,1253.0
1516,1306.0
1517,1282.0
1518,1301.0
1519,1299.0
1520,1300.0
1521,1298.0
1522,1293.0
1523,1284.0
1524,1285.0
1525,1289.0
1526,1297.0
1527,1302.0
1528,1298.0
1529,1291.0
1530,1226.0
1531,1210.0
1532,1202.0
1533,1126.0
1534,1100.0
1535,1102.0
1536,1104.0
1537,1104.0
1538,1103.0
1539,1105.0
1540,1106.0
1541,1143.0
1542,1182.0
1543,1184.0
1544,1244.0
1545,1243.0
1546,1243.0
1547,1243.0
1548,1246.0
1549,1256.0
1550,1264.0
1551,1275.0
1552,1326.0
1553,1298.0
1554,1313.0
1555,1305.0
1556,1306.0
1557,1304.0
1558,1305.0
1559,1308.0
1560,1326.0
1561,1390.0
1562,1380.0
1563,1392.0
1564,1420.0
1565,1451.0
1566,1466.0
1567,1467.0
1568,1481.0
1569,1494.0
1570,1496.0
1571,1511.0
1572,1492.0
1573,1486.0
1574,1457.0
1575,1490.0
1576,1464.0
1577,1461.0
1578,1447.0
1579,1457.0
1580,1436.0
1581,1436.0
1582,1421.0
1583,1434.0
1584,958.0
1585,1332.0
1586,1513.0
1587,1466.0
1588,759.0
1589,672.0
1590,1705.0
1591,1948.0
1592,1852.0
1593,1717.0
1594,1633.0
1595,1169.0
1596,1140.0
1597,1154.0
1598,1148.0
1599,1160.0
1600,1182.0
1601,1625.0
1602,2054.0
1603,1833.0
1604,1627.0
1605,1490.0
1606,1373.0
1607,1266.0
1608,1273.0
1609,1236.0
1610,1064.0
1611,927.0
1612,924.0
1613,928.0
1614,982.0
1615,1079.0
1616,1189.0
1617,1275.0
1618,1268.0
1619,1262.0
1620,1261.0
1621,1262.0
1622,1263.0
1623,1253.0
1624,1250.0
1625,1247.0
1626,1247.0
1627,1249.0
1628,1250.0
1629,1247.0
1630,1249.0
1631,1249.0
1632,1248.0
1633,1251.0
1634,1250.0
1635,1252.0
1636,1251.0
1637,1249.0
1638,1247.0
1639,1247.0
1640,1247.0
1641,1248.0
1642,1248.0
1643,1248.0
1644,1249.0
1645,1246.0
1646,1247.0
1647,1249.0
1648,1248.0
1649,1247.0
1650,1254.0
1651,1256.0
1652,1255.0
1653,1256.0
1654,1258.0
1655,1343.0
1656,1421.0
1657,1418.0
1658,1416.0
1659,1417.0
1660,1494.0
1661,1585.0
1662,1566.0
1663,1513.0
1664,1542.0
1665,1536.0
1666,1524.0
1667,1458.0
1668,1446.0
1669,1448.0
1670,1449.0
1671,1447.0
1672,1447.0
1673,1446.0
1674,1444.0
1675,1435.0
1676,1358.0
1677,1281.0
1678,1314.0
1679,1351.0
1680,1352.0
1681,1351.0
1682,1347.0
1683,1348.0
1684,1333.0
1685,1261.0
1686,1312.0
1687,1327.0
1688,1325.0
1689,1324.0
1690,1325.0
1691,1319.0
1692,1295.0
1693,1188.0
1694,1240.0
1695,1239.0
1696,1277.0
1697,1345.0
1698,1392.0
1699,1288.0
1700,1291.0
1701,1288.0
1702,1291.0
1703,1293.0
1704,1292.0
1705,1277.0
1706,1266.0
1707,1265.0
1708,1236.0
1709,1189.0
1710,1243.0
1711,1270.0
1712,1271.0
1713,1269.0
1714,1268.0
1715,1267.0
1716,1267.0
1717,1250.0
1718,1247.0
1719,1248.0
1720,1247.0
1721,1247.0
1722,1247.0
1723,1200.0
1724,1136.0
1725,1174.0
1726,1267.0
1727,1326.0
1728,1307.0
1729,1243.0
1730,1216.0
1731,1217.0
1732,1220.0
1733,1222.0
1734,1277.0
1735,1297.0
1736,1291.0
1737,1238.0
1738,1185.0
1739,1189.0
1740,1191.0
1741,1247.0
1742,1274.0
1743,1268.0
1744,1257.0
1745,1207.0
1746,1158.0
1747,1165.0
1748,1240.0
1749,1240.0
1750,1238.0
1751,1236.0
1752,1236.0
1753,1214.0
1754,1131.0
1755,1133.0
1756,1135.0
1757,1042.0
1758,972.0
1759,1019.0
1760,1065.0
1761,1219.0
1762,1215.0
1763,1218.0
1764,1219.0
1765,1218.0
