,Value
25267,647.0
25268,645.0
25269,646.0
25270,646.0
25271,645.0
25272,646.0
25273,646.0
25274,645.0
25275,643.0
25276,646.0
25277,659.0
25278,660.0
25279,660.0
25280,661.0
25281,661.0
25282,659.0
25283,660.0
25284,661.0
25285,660.0
25286,660.0
25287,658.0
25288,659.0
25289,658.0
25290,659.0
25291,660.0
25292,659.0
25293,659.0
25294,659.0
25295,651.0
25296,648.0
25297,648.0
25298,650.0
25299,649.0
25300,650.0
25301,648.0
25302,640.0
25303,630.0
25304,630.0
25305,627.0
25306,630.0
25307,630.0
25308,645.0
25309,658.0
25310,660.0
25311,662.0
25312,660.0
25313,662.0
25314,661.0
25315,659.0
25316,662.0
25317,656.0
25318,646.0
25319,628.0
25320,538.0
25321,518.0
25322,602.0
25323,607.0
25324,606.0
25325,608.0
25326,613.0
25327,614.0
25328,616.0
25329,652.0
25330,690.0
25331,686.0
25332,681.0
25333,639.0
25334,590.0
25335,588.0
25336,596.0
25337,672.0
25338,669.0
25339,667.0
25340,667.0
25341,667.0
25342,665.0
25343,666.0
25344,667.0
25345,668.0
25346,666.0
25347,666.0
25348,667.0
25349,665.0
25350,664.0
25351,666.0
25352,666.0
25353,665.0
25354,665.0
25355,666.0
25356,667.0
25357,666.0
25358,664.0
25359,667.0
25360,667.0
25361,666.0
25362,667.0
25363,667.0
25364,666.0
25365,666.0
25366,666.0
25367,666.0
25368,664.0
25369,666.0
25370,666.0
25371,665.0
25372,664.0
25373,658.0
25374,666.0
25375,665.0
25376,459.0
25377,458.0
25378,708.0
25379,787.0
25380,798.0
25381,793.0
25382,804.0
25383,784.0
25384,708.0
25385,682.0
25386,665.0
25387,564.0
25388,560.0
25389,562.0
25390,564.0
25391,564.0
25392,564.0
25393,565.0
25394,565.0
25395,570.0
25396,651.0
25397,715.0
25398,841.0
25399,1015.0
25400,1330.0
25401,1351.0
25402,1118.0
25403,552.0
25404,542.0
25405,585.0
25406,703.0
25407,805.0
25408,808.0
25409,792.0
25410,724.0
25411,726.0
25412,813.0
25413,819.0
25414,785.0
25415,644.0
25416,538.0
25417,509.0
25418,513.0
25419,515.0
25420,529.0
25421,603.0
25422,608.0
25423,606.0
25424,606.0
25425,615.0
25426,657.0
25427,692.0
25428,691.0
25429,687.0
25430,681.0
25431,650.0
25432,589.0
25433,591.0
25434,592.0
25435,591.0
25436,601.0
25437,661.0
25438,669.0
25439,668.0
25440,665.0
25441,667.0
25442,665.0
25443,663.0
25444,665.0
25445,664.0
25446,651.0
25447,651.0
25448,630.0
25449,566.0
25450,568.0
25451,576.0
25452,643.0
25453,647.0
25454,646.0
25455,646.0
25456,646.0
25457,644.0
25458,645.0
25459,645.0
25460,644.0
25461,642.0
25462,644.0
25463,643.0
25464,643.0
25465,641.0
25466,643.0
25467,643.0
25468,641.0
25469,644.0
25470,644.0
25471,643.0
25472,641.0
25473,641.0
25474,644.0
25475,644.0
25476,643.0
25477,643.0
25478,644.0
25479,645.0
25480,644.0
25481,645.0
25482,644.0
25483,645.0
25484,644.0
25485,644.0
25486,644.0
25487,645.0
25488,644.0
25489,651.0
25490,652.0
25491,653.0
25492,652.0
25493,658.0
25494,663.0
25495,681.0
25496,729.0
25497,725.0
25498,716.0
25499,654.0
25500,626.0
25501,622.0
25502,616.0
25503,606.0
25504,604.0
25505,534.0
25506,500.0
25507,505.0
25508,564.0
25509,599.0
25510,655.0
25511,670.0
25512,667.0
25513,664.0
25514,665.0
25515,656.0
25516,642.0
25517,561.0
25518,566.0
25519,567.0
25520,568.0
25521,566.0
25522,571.0
25523,574.0
25524,573.0
25525,574.0
25526,624.0
25527,705.0
25528,746.0
25529,738.0
25530,717.0
25531,644.0
25532,577.0
25533,566.0
25534,568.0
25535,572.0
25536,572.0
25537,571.0
25538,572.0
25539,578.0
25540,644.0
25541,652.0
25542,666.0
25543,667.0
25544,665.0
25545,664.0
25546,664.0
25547,664.0
25548,664.0
25549,661.0
25550,663.0
25551,644.0
25552,644.0
25553,631.0
25554,601.0
25555,544.0
25556,548.0
25557,576.0
25558,632.0
25559,666.0
25560,711.0
25561,708.0
25562,706.0
25563,693.0
25564,645.0
25565,609.0
25566,609.0
25567,612.0
25568,610.0
25569,624.0
25570,689.0
25571,690.0
25572,688.0
25573,689.0
25574,705.0
25575,783.0
25576,858.0
25577,998.0
25578,1409.0
25579,1595.0
25580,1450.0
25581,1230.0
25582,1109.0
25583,1019.0
25584,962.0
25585,961.0
25586,964.0
25587,963.0
25588,740.0
25589,486.0
25590,486.0
25591,499.0
25592,556.0
25593,688.0
25594,802.0
25595,888.0
25596,963.0
25597,1245.0
25598,1281.0
25599,1148.0
25600,949.0
25601,536.0
25602,443.0
25603,445.0
25604,459.0
25605,531.0
25606,695.0
25607,813.0
25608,892.0
25609,915.0
25610,907.0
25611,854.0
25612,794.0
25613,798.0
25614,784.0
25615,781.0
25616,713.0
25617,712.0
25618,713.0
25619,714.0
25620,714.0
25621,715.0
25622,716.0
25623,714.0
25624,694.0
25625,628.0
25626,630.0
25627,633.0
25628,633.0
25629,632.0
25630,626.0
25631,612.0
25632,551.0
25633,497.0
25634,501.0
25635,503.0
25636,541.0
25637,583.0
25638,582.0
25639,581.0
25640,579.0
25641,568.0
25642,568.0
25643,569.0
25644,527.0
25645,480.0
25646,483.0
25647,483.0
25648,493.0
25649,566.0
25650,566.0
25651,568.0
25652,568.0
25653,565.0
25654,566.0
25655,566.0
25656,566.0
25657,567.0
25658,567.0
25659,564.0
25660,567.0
25661,567.0
25662,570.0
25663,628.0
25664,644.0
25665,642.0
25666,640.0
25667,641.0
25668,626.0
25669,1764.0
25670,2544.0
25671,627.0
25672,0.0
25673,0.0
25674,0.0
25675,0.0
25676,0.0
25677,586.0
25678,547.0
25679,518.0
25680,576.0
25681,567.0
25682,595.0
25683,659.0
25684,657.0
25685,655.0
25686,654.0
25687,655.0
25688,653.0
25689,654.0
25690,651.0
25691,653.0
25692,652.0
25693,652.0
25694,638.0
25695,593.0
25696,540.0
25697,544.0
25698,612.0
25699,630.0
25700,628.0
25701,625.0
25702,625.0
25703,626.0
25704,626.0
25705,625.0
25706,624.0
25707,625.0
25708,626.0
25709,626.0
25710,625.0
25711,623.0
25712,626.0
25713,631.0
25714,634.0
25715,633.0
25716,632.0
25717,634.0
25718,633.0
25719,632.0
25720,633.0
25721,634.0
25722,630.0
25723,631.0
25724,630.0
25725,632.0
25726,631.0
25727,631.0
25728,632.0
25729,629.0
25730,631.0
25731,630.0
25732,633.0
25733,633.0
25734,655.0
25735,707.0
25736,704.0
25737,654.0
25738,605.0
25739,606.0
25740,609.0
25741,609.0
25742,610.0
25743,613.0
25744,614.0
25745,667.0
25746,684.0
25747,681.0
25748,680.0
25749,681.0
25750,668.0
25751,589.0
25752,584.0
25753,585.0
25754,597.0
25755,668.0
25756,664.0
25757,663.0
25758,661.0
25759,654.0
25760,594.0
25761,561.0
25762,565.0
25763,571.0
25764,634.0
25765,253.0
25766,0.0
25767,26.0
25768,867.0
25769,1152.0
25770,1080.0
25771,925.0
25772,834.0
25773,717.0
25774,653.0
25775,610.0
25776,613.0
25777,614.0
25778,616.0
25779,621.0
25780,625.0
25781,693.0
25782,689.0
25783,691.0
25784,689.0
25785,690.0
25786,682.0
25787,597.0
25788,572.0
25789,538.0
25790,450.0
25791,517.0
25792,543.0
25793,548.0
25794,547.0
25795,548.0
25796,547.0
25797,549.0
25798,579.0
25799,636.0
25800,633.0
25801,593.0
25802,520.0
25803,515.0
25804,516.0
25805,517.0
25806,515.0
25807,517.0
25808,514.0
25809,516.0
25810,515.0
25811,516.0
25812,516.0
25813,518.0
25814,516.0
25815,516.0
25816,518.0
25817,518.0
25818,516.0
25819,518.0
25820,518.0
25821,519.0
25822,516.0
25823,516.0
25824,517.0
25825,518.0
25826,515.0
25827,517.0
25828,518.0
25829,521.0
25830,528.0
25831,531.0
25832,528.0
25833,533.0
25834,613.0
25835,612.0
25836,611.0
25837,609.0
25838,609.0
25839,608.0
25840,609.0
25841,609.0
25842,616.0
25843,693.0
25844,699.0
25845,725.0
25846,785.0
25847,833.0
25848,1002.0
25849,1264.0
25850,1407.0
25851,1250.0
25852,1082.0
25853,898.0
25854,572.0
25855,757.0
25856,1358.0
25857,1815.0
25858,1916.0
25859,1736.0
25860,1459.0
25861,1279.0
25862,1248.0
25863,1269.0
25864,1365.0
25865,1407.0
25866,1403.0
25867,1394.0
25868,1368.0
25869,1313.0
25870,1366.0
25871,1385.0
25872,1383.0
25873,1381.0
25874,1336.0
25875,1222.0
25876,1222.0
25877,1183.0
25878,1097.0
25879,965.0
25880,423.0
25881,324.0
25882,332.0
25883,364.0
25884,554.0
25885,734.0
25886,791.0
25887,747.0
25888,665.0
25889,577.0
25890,540.0
25891,637.0
25892,839.0
25893,1177.0
25894,1497.0
25895,1593.0
25896,1439.0
25897,1276.0
25898,1230.0
25899,1214.0
25900,1229.0
25901,1365.0
25902,1408.0
25903,1407.0
25904,1392.0
25905,1357.0
25906,1282.0
25907,1290.0
25908,1290.0
25909,1271.0
25910,1223.0
25911,1119.0
25912,967.0
25913,440.0
25914,412.0
25915,419.0
25916,426.0
25917,462.0
25918,659.0
25919,875.0
25920,1241.0
25921,1495.0
25922,1599.0
25923,1523.0
25924,1416.0
25925,1312.0
25926,1311.0
25927,1320.0
25928,1416.0
25929,1588.0
25930,1642.0
25931,1655.0
25932,1628.0
25933,1491.0
25934,1450.0
25935,1459.0
25936,1515.0
25937,1610.0
25938,1600.0
25939,1546.0
25940,1489.0
25941,1408.0
25942,1426.0
25943,1540.0
25944,1564.0
25945,1562.0
25946,1551.0
25947,1459.0
25948,1461.0
25949,1468.0
25950,1529.0
25951,1551.0
25952,1634.0
25953,1657.0
25954,1724.0
25955,1856.0
25956,1943.0
25957,1991.0
25958,1979.0
25959,2037.0
25960,2161.0
25961,2224.0
25962,2176.0
25963,1990.0
25964,1810.0
25965,1678.0
25966,1695.0
25967,1765.0
25968,1835.0
25969,1900.0
25970,1890.0
25971,1832.0
25972,1762.0
25973,1770.0
25974,1842.0
25975,1904.0
25976,1984.0
25977,2023.0
25978,1940.0
25979,1846.0
25980,1832.0
25981,1816.0
25982,1832.0
25983,1832.0
25984,1832.0
25985,1833.0
25986,1831.0
25987,1789.0
25988,1766.0
25989,1828.0
25990,1874.0
25991,1894.0
25992,1863.0
25993,1777.0
25994,1639.0
25995,1494.0
25996,1379.0
25997,1241.0
25998,1299.0
25999,1460.0
26000,1612.0
26001,1676.0
26002,1667.0
26003,1664.0
26004,1659.0
26005,1622.0
26006,1548.0
26007,1472.0
26008,1497.0
26009,1528.0
26010,1496.0
26011,1410.0
26012,1280.0
26013,1207.0
26014,1308.0
26015,1506.0
26016,1594.0
26017,1600.0
26018,1593.0
26019,1591.0
26020,1590.0
26021,1583.0
26022,1532.0
26023,1502.0
26024,1489.0
26025,1415.0
26026,1336.0
26027,1286.0
26028,1341.0
26029,1367.0
26030,1367.0
26031,1363.0
26032,1367.0
26033,1369.0
26034,1399.0
26035,1439.0
26036,1416.0
26037,1338.0
26038,1320.0
26039,1326.0
26040,1333.0
26041,1409.0
26042,1551.0
26043,1595.0
26044,1594.0
26045,1589.0
26046,1589.0
26047,1588.0
26048,1538.0
26049,1485.0
26050,1466.0
26051,1371.0
26052,1368.0
26053,1354.0
26054,1343.0
26055,1265.0
26056,1268.0
26057,1273.0
26058,1279.0
26059,1328.0
26060,1387.0
26061,1384.0
26062,1367.0
26063,1281.0
26064,1270.0
26065,1274.0
26066,1273.0
26067,1242.0
26068,1126.0
26069,974.0
26070,773.0
26071,381.0
26072,359.0
26073,366.0
26074,390.0
26075,513.0
26076,630.0
26077,724.0
26078,737.0
26079,734.0
26080,731.0
26081,730.0
26082,753.0
26083,1001.0
26084,1370.0
26085,1618.0
26086,1533.0
26087,1268.0
26088,1175.0
26089,1126.0
26090,1128.0
26091,1131.0
26092,1133.0
26093,1135.0
26094,1136.0
26095,1193.0
26096,1333.0
26097,1411.0
26098,1409.0
26099,1336.0
26100,1289.0
26101,1269.0
26102,1215.0
26103,1204.0
26104,1209.0
26105,1210.0
26106,1207.0
26107,1200.0
26108,1195.0
26109,1138.0
26110,1084.0
26111,991.0
26112,809.0
26113,368.0
26114,342.0
26115,353.0
26116,482.0
26117,672.0
26118,737.0
26119,726.0
26120,681.0
26121,606.0
26122,611.0
26123,675.0
26124,700.0
26125,861.0
26126,1269.0
26127,1592.0
26128,1611.0
26129,1437.0
26130,1260.0
26131,1208.0
26132,1249.0
26133,1461.0
26134,1598.0
26135,1518.0
26136,1406.0
26137,1294.0
26138,1245.0
26139,1222.0
26140,1216.0
26141,1220.0
26142,1221.0
26143,1228.0
26144,1228.0
26145,1232.0
26146,1268.0
26147,1307.0
26148,1317.0
26149,1327.0
26150,1360.0
26151,1385.0
26152,1382.0
26153,1379.0
26154,1376.0
26155,1364.0
26156,1364.0
26157,1299.0
26158,1256.0
26159,1159.0
26160,1031.0
26161,612.0
26162,336.0
26163,347.0
26164,393.0
26165,580.0
26166,752.0
26167,887.0
26168,1083.0
26169,1441.0
26170,1625.0
26171,1520.0
26172,1396.0
26173,1307.0
26174,1204.0
26175,1136.0
26176,1104.0
26177,1080.0
26178,1179.0
26179,1347.0
26180,1428.0
26181,1481.0
26182,1400.0
26183,1313.0
26184,1283.0
26185,1277.0
26186,1277.0
26187,1220.0
26188,1212.0
26189,1216.0
26190,1217.0
26191,1231.0
26192,1329.0
26193,1491.0
26194,1600.0
26195,1567.0
26196,1469.0
26197,1330.0
26198,1312.0
26199,1311.0
26200,1315.0
26201,1328.0
26202,1432.0
26203,1517.0
26204,1519.0
26205,1517.0
26206,1536.0
26207,1572.0
26208,1638.0
26209,1799.0
26210,1875.0
26211,1878.0
26212,1922.0
26213,1971.0
26214,2089.0
26215,2215.0
26216,2297.0
26217,2277.0
26218,2314.0
26219,2432.0
26220,2407.0
26221,2368.0
26222,2397.0
26223,2438.0
26224,2431.0
26225,2401.0
26226,2402.0
26227,2429.0
26228,2417.0
26229,2353.0
26230,2400.0
26231,2427.0
26232,2385.0
26233,2331.0
26234,2297.0
26235,2282.0
26236,2303.0
26237,2285.0
26238,2182.0
26239,2122.0
26240,2216.0
26241,2153.0
26242,2126.0
26243,2132.0
26244,2075.0
26245,2086.0
26246,2076.0
26247,1828.0
26248,1728.0
26249,2007.0
26250,2359.0
26251,2334.0
26252,2100.0
26253,1897.0
26254,1767.0
26255,1723.0
26256,1832.0
26257,1963.0
26258,2033.0
26259,1875.0
26260,1808.0
26261,1697.0
26262,1754.0
26263,1889.0
26264,1923.0
26265,1921.0
26266,1904.0
26267,1815.0
26268,1820.0
26269,1770.0
26270,1772.0
26271,1830.0
26272,1846.0
26273,1813.0
26274,1715.0
26275,1686.0
26276,1702.0
26277,1811.0
26278,1841.0
26279,1847.0
26280,1711.0
26281,1695.0
26282,1672.0
26283,1647.0
26284,1619.0
26285,1734.0
26286,1763.0
26287,1749.0
26288,1687.0
26289,1660.0
26290,1647.0
26291,1648.0
26292,1648.0
26293,1578.0
26294,1570.0
26295,1571.0
26296,1530.0
26297,1496.0
26298,1506.0
26299,1570.0
26300,1654.0
26301,1727.0
26302,1668.0
26303,1609.0
26304,1554.0
26305,1476.0
26306,1464.0
26307,1551.0
26308,1637.0
26309,1669.0
26310,1664.0
26311,1663.0
26312,1685.0
26313,1712.0
26314,1713.0
26315,1717.0
26316,1757.0
26317,1816.0
26318,1850.0
26319,1834.0
26320,1827.0
26321,1829.0
26322,1830.0
26323,1840.0
26324,1855.0
26325,1852.0
26326,1851.0
26327,1849.0
26328,1850.0
26329,1855.0
26330,1828.0
26331,1837.0
26332,1848.0
26333,1848.0
26334,1848.0
26335,1846.0
26336,1841.0
26337,310.0
26338,417.0
26339,1562.0
26340,2483.0
26341,2654.0
26342,2269.0
26343,1963.0
26344,1747.0
26345,1537.0
26346,1437.0
26347,1383.0
26348,1401.0
26349,1550.0
26350,1619.0
26351,1613.0
26352,1607.0
26353,1546.0
26354,1425.0
26355,1327.0
26356,1344.0
26357,1492.0
26358,1500.0
26359,1413.0
26360,1301.0
26361,1231.0
26362,1211.0
26363,1216.0
26364,1217.0
26365,1235.0
26366,1340.0
26367,1551.0
26368,1758.0
26369,1871.0
26370,1870.0
26371,1779.0
26372,1549.0
26373,1369.0
26374,1327.0
26375,1267.0
26376,1282.0
26377,1396.0
26378,1546.0
26379,1610.0
26380,1500.0
26381,1326.0
26382,1312.0
26383,1314.0
26384,1330.0
26385,1434.0
26386,1550.0
26387,1560.0
26388,1452.0
26389,1289.0
26390,1282.0
26391,1275.0
26392,1291.0
26393,1381.0
26394,1449.0
26395,1471.0
26396,1407.0
26397,1334.0
26398,1278.0
26399,1285.0
26400,1289.0
26401,1356.0
26402,1355.0
26403,1357.0
26404,1357.0
26405,1355.0
26406,1355.0
26407,1352.0
26408,1348.0
26409,1349.0
26410,1346.0
26411,1343.0
26412,1309.0
26413,1249.0
26414,1196.0
26415,1282.0
26416,1340.0
26417,1380.0
26418,1375.0
26419,1373.0
26420,1348.0
26421,1271.0
26422,1269.0
26423,1272.0
26424,1288.0
26425,1344.0
26426,1341.0
26427,1337.0
26428,1337.0
26429,1326.0
26430,1253.0
26431,1255.0
26432,1303.0
26433,1330.0
26434,1340.0
26435,1337.0
26436,1338.0
26437,1337.0
26438,1326.0
26439,1326.0
26440,1326.0
26441,1327.0
26442,1326.0
26443,1303.0
26444,1247.0
26445,1252.0
26446,1316.0
26447,1347.0
26448,1401.0
26449,1386.0
26450,1311.0
26451,1299.0
26452,1288.0
26453,1278.0
26454,1281.0
26455,1283.0
26456,1280.0
26457,1289.0
26458,1288.0
26459,1288.0
26460,1293.0
26461,1350.0
26462,1377.0
26463,1376.0
26464,1373.0
26465,1369.0
26466,1316.0
26467,1268.0
26468,1272.0
26469,1312.0
26470,1344.0
26471,1341.0
26472,1341.0
26473,1339.0
26474,1325.0
26475,1260.0
26476,1275.0
26477,1333.0
26478,1334.0
26479,1332.0
26480,1331.0
26481,1330.0
26482,1321.0
26483,1315.0
26484,1317.0
26485,1316.0
26486,1314.0
26487,1316.0
26488,1314.0
26489,1313.0
26490,1304.0
26491,1306.0
26492,1307.0
26493,1312.0
26494,1377.0
26495,1509.0
26496,1590.0
26497,1646.0
26498,1639.0
26499,1633.0
26500,1618.0
26501,1618.0
26502,1623.0
26503,1625.0
26504,1652.0
26505,1794.0
26506,1814.0
26507,1807.0
26508,1805.0
26509,1809.0
26510,1883.0
26511,1919.0
26512,1958.0
26513,1968.0
26514,1924.0
26515,1901.0
26516,1902.0
26517,1944.0
26518,1946.0
26519,1986.0
26520,2073.0
26521,2075.0
26522,2031.0
26523,1996.0
26524,1999.0
26525,2024.0
26526,1816.0
26527,1330.0
26528,2234.0
26529,2510.0
26530,2313.0
26531,2021.0
26532,2024.0
26533,2021.0
26534,2057.0
26535,2055.0
26536,2054.0
26537,2026.0
26538,1930.0
26539,1902.0
26540,1910.0
26541,1917.0
26542,1915.0
26543,1916.0
26544,1905.0
26545,1828.0
26546,1709.0
26547,1719.0
26548,1756.0
26549,1816.0
26550,1818.0
26551,1814.0
26552,1808.0
26553,1734.0
26554,1676.0
26555,1683.0
26556,1686.0
26557,1693.0
26558,1751.0
26559,1759.0
26560,1707.0
26561,1594.0
26562,1591.0
26563,1597.0
26564,1668.0
26565,1754.0
26566,1743.0
26567,1733.0
26568,1647.0
26569,1546.0
26570,1553.0
26571,1657.0
26572,1704.0
26573,1694.0
26574,1555.0
26575,1502.0
26576,1490.0
26577,1494.0
26578,1499.0
26579,1557.0
26580,1727.0
26581,1756.0
26582,1723.0
26583,1620.0
26584,1592.0
26585,1443.0
26586,1516.0
26587,1661.0
26588,1675.0
26589,1639.0
26590,1542.0
26591,1468.0
26592,1471.0
26593,1400.0
26594,1408.0
26595,1470.0
26596,1481.0
26597,1487.0
26598,1486.0
26599,1503.0
26600,1572.0
26601,1584.0
26602,1576.0
26603,1501.0
26604,1390.0
26605,807.0
26606,791.0
26607,1390.0
26608,1734.0
26609,1953.0
26610,1981.0
26611,1865.0
26612,1607.0
26613,1347.0
26614,1262.0
26615,1272.0
26616,1324.0
26617,1536.0
26618,1746.0
26619,1755.0
26620,1676.0
26621,1485.0
26622,1354.0
26623,1333.0
26624,1450.0
26625,1562.0
26626,1620.0
26627,1580.0
26628,1640.0
26629,1689.0
26630,1703.0
26631,1701.0
26632,1703.0
26633,1756.0
26634,1756.0
26635,1756.0
26636,1756.0
26637,1735.0
26638,1643.0
26639,1586.0
26640,1570.0
26641,1572.0
26642,1573.0
26643,1566.0
26644,1558.0
26645,1559.0
26646,1562.0
26647,1565.0
26648,1582.0
26649,1609.0
26650,1609.0
26651,1608.0
26652,1623.0
26653,1676.0
26654,1673.0
26655,1668.0
26656,1670.0
26657,1666.0
26658,1651.0
26659,1624.0
26660,1559.0
26661,1708.0
26662,1798.0
26663,1798.0
26664,1795.0
26665,1792.0
26666,1789.0
26667,1793.0
26668,1794.0
26669,1858.0
26670,1889.0
26671,1888.0
26672,1889.0
26673,1886.0
26674,1885.0
26675,1883.0
26676,1881.0
26677,1881.0
26678,1886.0
26679,1885.0
26680,1913.0
26681,1910.0
26682,1910.0
26683,1910.0
26684,1909.0
26685,1934.0
26686,1943.0
26687,1938.0
26688,1931.0
26689,1933.0
26690,1933.0
26691,1932.0
26692,1934.0
26693,1933.0
26694,1934.0
26695,1936.0
26696,2017.0
26697,2051.0
26698,2050.0
26699,2050.0
26700,2056.0
26701,2090.0
26702,2082.0
26703,2082.0
26704,2170.0
26705,2332.0
26706,2456.0
26707,2539.0
26708,2617.0
26709,2566.0
26710,2563.0
26711,2526.0
26712,2522.0
26713,2517.0
26714,2447.0
26715,2311.0
26716,2310.0
26717,2293.0
26718,2180.0
26719,2092.0
26720,2097.0
26721,2051.0
26722,2046.0
26723,1903.0
26724,1645.0
26725,1665.0
26726,2063.0
26727,2428.0
26728,2369.0
26729,2040.0
26730,1816.0
26731,1722.0
26732,1699.0
26733,1787.0
26734,1815.0
26735,1810.0
26736,1791.0
26737,1673.0
26738,1645.0
26739,1775.0
26740,1787.0
26741,1823.0
26742,1860.0
26743,1859.0
26744,1858.0
26745,1854.0
26746,1847.0
26747,1816.0
26748,1817.0
26749,1824.0
26750,1832.0
26751,1832.0
26752,1832.0
26753,1830.0
26754,1830.0
26755,1831.0
26756,1829.0
26757,1830.0
26758,1831.0
26759,1829.0
26760,1823.0
26761,1766.0
26762,1772.0
26763,1771.0
26764,1783.0
26765,1822.0
26766,1826.0
26767,1824.0
26768,1822.0
26769,1818.0
26770,1811.0
26771,1724.0
26772,1637.0
26773,1495.0
26774,1368.0
26775,1340.0
26776,1337.0
26777,1338.0
26778,1340.0
26779,1356.0
26780,1436.0
26781,1524.0
26782,1624.0
26783,1620.0
26784,1654.0
26785,1743.0
26786,1781.0
26787,1729.0
26788,1699.0
26789,1741.0
26790,1739.0
26791,1734.0
26792,1720.0
26793,1720.0
26794,1719.0
26795,1723.0
26796,1724.0
26797,1750.0
26798,1853.0
26799,1880.0
26800,1866.0
26801,1854.0
26802,1808.0
26803,1791.0
26804,1834.0
26805,1920.0
26806,1960.0
26807,1935.0
26808,1879.0
26809,1877.0
26810,1878.0
26811,1880.0
26812,1122.0
26813,1138.0
26814,1230.0
26815,1127.0
26816,98.0
26817,0.0
26818,0.0
26819,275.0
26820,961.0
26821,1342.0
26822,1249.0
26823,1133.0
26824,1130.0
26825,1160.0
26826,1095.0
26827,1087.0
26828,1038.0
26829,1003.0
26830,1027.0
26831,1043.0
26832,1015.0
26833,1017.0
26834,1018.0
26835,1006.0
26836,1026.0
26837,1037.0
26838,1015.0
26839,1466.0
26840,1405.0
26841,1581.0
26842,2205.0
26843,2189.0
26844,1739.0
26845,699.0
26846,1248.0
26847,1828.0
26848,2052.0
26849,1825.0
26850,1521.0
26851,1302.0
26852,1188.0
26853,1188.0
26854,1192.0
26855,1210.0
26856,1334.0
26857,1480.0
26858,1575.0
26859,1619.0
26860,1548.0
26861,1488.0
26862,1434.0
26863,1382.0
26864,1340.0
26865,1347.0
26866,1387.0
26867,1431.0
26868,1443.0
26869,1463.0
26870,1462.0
26871,1460.0
26872,1459.0
26873,1458.0
26874,1464.0
26875,1520.0
26876,1589.0
26877,1573.0
26878,1463.0
26879,1412.0
26880,1422.0
26881,1484.0
26882,1513.0
26883,1507.0
26884,1479.0
26885,1398.0
26886,1404.0
26887,1414.0
26888,1499.0
26889,1628.0
26890,1660.0
26891,1657.0
26892,1656.0
26893,1653.0
26894,1706.0
26895,1776.0
26896,1831.0
26897,1797.0
26898,1700.0
26899,1728.0
26900,1796.0
26901,1783.0
26902,1744.0
26903,1688.0
26904,1748.0
26905,1748.0
26906,1749.0
26907,1732.0
26908,1041.0
26909,1333.0
26910,1357.0
26911,1342.0
26912,1378.0
26913,1405.0
26914,1413.0
26915,1416.0
26916,1417.0
26917,1418.0
26918,1392.0
26919,1294.0
26920,1159.0
26921,1037.0
26922,999.0
26923,1035.0
26924,1183.0
26925,1283.0
26926,1317.0
26927,1323.0
26928,1213.0
26929,1220.0
26930,1271.0
26931,1253.0
26932,1213.0
26933,1121.0
26934,1112.0
26935,1879.0
26936,2307.0
26937,2142.0
26938,1645.0
26939,1333.0
26940,1350.0
26941,1364.0
26942,1366.0
26943,1933.0
26944,2006.0
26945,1740.0
26946,1490.0
26947,1363.0
26948,1344.0
26949,1353.0
26950,1356.0
26951,1356.0
26952,1358.0
26953,1391.0
26954,1439.0
26955,1432.0
26956,1433.0
26957,1425.0
26958,1344.0
26959,1326.0
26960,1330.0
26961,1332.0
26962,1347.0
26963,1408.0
26964,1406.0
26965,1402.0
26966,1344.0
26967,1296.0
26968,1298.0
26969,1299.0
26970,1300.0
26971,1334.0
26972,1373.0
26973,1370.0
26974,1366.0
26975,1302.0
26976,1262.0
26977,1267.0
26978,1274.0
26979,1339.0
26980,1349.0
26981,1345.0
26982,1339.0
26983,1284.0
26984,1237.0
26985,1239.0
26986,1242.0
26987,1240.0
26988,1241.0
26989,1209.0
26990,1145.0
26991,1144.0
26992,1148.0
26993,1227.0
26994,1305.0
26995,1300.0
26996,1296.0
26997,1294.0
26998,1262.0
26999,1187.0
27000,1195.0
27001,1256.0
27002,1301.0
27003,1384.0
27004,1381.0
27005,1373.0
27006,1311.0
27007,1266.0
27008,1270.0
27009,755.0
27010,1386.0
27011,1298.0
27012,1084.0
27013,2043.0
27014,2023.0
27015,1739.0
27016,1468.0
27017,1371.0
27018,1326.0
27019,1336.0
27020,1341.0
27021,1396.0
27022,1440.0
27023,1435.0
27024,1432.0
27025,1432.0
27026,1432.0
27027,1429.0
27028,1413.0
27029,1327.0
27030,1316.0
27031,1312.0
27032,1305.0
27033,1247.0
27034,1228.0
27035,1155.0
27036,1113.0
27037,1073.0
27038,1018.0
27039,1004.0
27040,1006.0
27041,1008.0
27042,1009.0
27043,1010.0
27044,1008.0
27045,1009.0
27046,1055.0
27047,1103.0
27048,1168.0
27049,1174.0
27050,1224.0
27051,1238.0
27052,1231.0
27053,1233.0
27054,1270.0
27055,1351.0
27056,1335.0
27057,1250.0
27058,1251.0
27059,1241.0
27060,1244.0
27061,1248.0
27062,1364.0
27063,1455.0
27064,1485.0
27065,1434.0
27066,1380.0
27067,1300.0
27068,1291.0
27069,1297.0
27070,1366.0
27071,1376.0
27072,1378.0
27073,1379.0
27074,1378.0
27075,1375.0
27076,1368.0
27077,1369.0
27078,1367.0
27079,1366.0
27080,1352.0
27081,1340.0
27082,1320.0
27083,1265.0
27084,1256.0
27085,1256.0
27086,1247.0
27087,1225.0
27088,1170.0
27089,1082.0
27090,1001.0
27091,994.0
27092,995.0
27093,786.0
27094,371.0
27095,373.0
